"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.169066666E-2,-3.457607719E-1,6.847727606E-1,-8.554049653E-1,1.148991688E0
4.164866667E-2,1.405053762E-1,5.846144881E-1,1.999274129E-1,6.336298848E-1
5.160766665E-2,-1.551199654E0,-1.693417241E-1,1.919383621E-1,1.572175983E0
6.156666667E-2,-1.592635656E0,-6.166986720E-1,6.029993767E-1,1.811191274E0
7.152566666E-2,-8.040769368E-1,-4.310157708E-1,1.504652309E0,1.759628622E0
8.148466668E-2,1.150328583E-1,-3.882729899E-1,1.085087689E0,1.158189866E0
9.144266666E-2,3.977328712E-1,-7.112009329E-1,6.416149735E-1,1.037144145E0
1.014016667E-1,-8.967845410E-2,-5.501470156E-1,5.021267205E-1,7.502234383E-1
1.113606667E-1,-6.398628554E-1,8.608431682E-2,-6.032268333E-1,8.835822518E-1
1.213196667E-1,-8.821632859E-1,4.129241202E-1,-1.526817935E0,1.811047044E0
1.312786667E-1,-1.044991577E0,1.878291582E-1,-1.372856069E0,1.735517495E0
1.412376667E-1,-4.939283395E-1,-5.650947281E-1,-7.822960585E-1,1.084105336E0
1.511956667E-1,-1.047973073E-1,-1.148097139E0,-7.352990627E-2,1.155212605E0
1.611546667E-1,-5.323831379E-1,-1.150839483E0,3.469597435E-1,1.314627090E0
1.711136667E-1,-4.218906426E-1,-4.150397524E-1,1.542765046E0,1.652384246E0
1.810726667E-1,7.335864133E-1,-7.227158546E-4,1.725163676E0,1.874657103E0
1.910312500E-1,1.323606141E0,5.785966069E-3,1.085494655E0,1.711801782E0
2.009902500E-1,1.279357921E0,1.464211504E-1,3.159086895E-1,1.325893715E0
2.109482500E-1,1.266623855E0,8.639242854E-1,2.683468527E-1,1.556506085E0
2.209072500E-1,9.011161584E-1,1.051814328E0,-1.618146765E-1,1.394456059E0
2.308662500E-1,4.789922118E-1,5.545589957E-1,-4.080964762E-1,8.387561937E-1
2.408252500E-1,-3.871570122E-1,2.109252215E-1,-5.287046546E-1,6.884102069E-1
2.507842500E-1,-1.263440046E0,5.343524802E-1,-4.008149385E-2,1.372377444E0
2.607432500E-1,-1.561171496E0,1.208921703E0,9.010916001E-1,2.170417977E0
2.707012500E-1,-2.294555596E0,2.741429344E0,1.212857537E0,3.775108427E0
2.806602500E-1,-2.387654963E0,3.028725853E0,1.635815881E0,4.189268446E0
2.906192500E-1,-1.712012118E0,1.348554163E0,2.045244938E0,2.988747343E0
3.005782500E-1,-1.720095309E0,-1.602417755E-1,1.713014331E0,2.432863210E0
