"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.187499988E-3,-2.266955276E0,-8.065707743E-1,-5.539997095E-1,2.469120960E0
1.414550000E-2,-2.592439073E0,-1.088464456E0,-1.186080798E0,3.051603329E0
2.410350001E-2,-3.289877415E0,-6.812368762E-1,-9.912065488E-1,3.502837066E0
3.406149999E-2,-3.591426220E0,3.891398031E-1,-1.499986231E-2,3.612477969E0
4.401950000E-2,-3.942593912E0,1.292561519E0,1.383058290E0,4.373512578E0
5.397650000E-2,-5.196817576E0,2.057539878E0,2.404931147E0,6.084741333E0
6.393450001E-2,-7.370624660E0,3.003141069E0,3.820788808E0,8.828555447E0
7.389249999E-2,-9.406460844E0,3.707114258E0,5.590662049E0,1.155334168E1
8.385050000E-2,-1.049128365E1,4.128772182E0,6.818673815E0,1.317604284E1
9.380850001E-2,-1.033045950E1,4.767702114E0,7.819086220E0,1.380534267E1
1.037655000E-1,-9.271818763E0,5.666363026E0,8.484789968E0,1.378644094E1
1.137235000E-1,-7.859445457E0,6.645591554E0,8.394139999E0,1.328142900E1
1.236815000E-1,-6.382103738E0,7.411556339E0,8.576058573E0,1.300812039E1
1.336429583E-1,-5.869654927E0,8.182320519E0,9.437099669E0,1.380079955E1
1.435999583E-1,-6.313536948E0,8.649631163E0,1.081800618E1,1.522189626E1
1.535579583E-1,-6.962329963E0,8.116283820E0,1.142562194E1,1.564905551E1
1.635159583E-1,-7.436881215E0,7.121764238E0,1.085479920E1,1.496173098E1
1.734739583E-1,-6.779246040E0,6.086585459E0,9.391233525E0,1.308434051E1
1.834319583E-1,-5.681081638E0,5.285789979E0,6.965526052E0,1.042750293E1
1.933889583E-1,-4.230041279E0,5.851301687E0,4.046670842E0,8.276866893E0
2.033469583E-1,-1.389195528E0,5.917730734E0,2.528638642E0,6.583571572E0
2.133049583E-1,-3.958261672E-2,4.730010377E0,2.017940195E0,5.142630415E0
2.232629583E-1,-9.659754478E-1,3.838137497E0,1.241684895E0,4.148034401E0
2.332209583E-1,-1.771976630E0,1.432095380E0,1.084065011E0,2.523092409E0
2.431779583E-1,-2.047709540E0,-1.859783537E0,1.321807245E0,3.065792484E0
2.531359583E-1,-1.804915896E0,-4.753864678E0,1.101997252E0,5.203013426E0
2.630939583E-1,-1.566097483E0,-7.332243537E0,1.534277228E-1,7.499199736E0
2.730519583E-1,-1.770777220E0,-9.928939383E0,-1.227479085E0,1.016002924E1
2.830099583E-1,-7.438973933E-2,-1.064990575E1,-4.138033587E-1,1.065820152E1
2.929669583E-1,1.381445628E0,-1.071033439E1,-6.857140893E-1,1.082080674E1
3.029249583E-1,2.815254535E0,-1.071801412E1,-3.722977754E-1,1.108783524E1
3.128829583E-1,3.769110239E0,-1.088375345E1,-8.187057933E-1,1.154697191E1
3.228409583E-1,3.957719197E0,-1.121344051E1,-1.269878415E0,1.195898744E1
3.327979583E-1,3.837344907E0,-1.145658294E1,-1.282712469E0,1.215005597E1
3.427559583E-1,3.650307389E0,-1.146310610E1,-9.005273438E-1,1.206393364E1
3.527139583E-1,3.563393206E0,-1.154314863E1,-1.076171855E0,1.212848702E1
3.626719583E-1,3.211984901E0,-1.189793078E1,-1.552710575E0,1.242129277E1
3.726299583E-1,2.748607678E0,-1.221544512E1,-1.977166976E0,1.267600619E1
3.825869583E-1,2.378701268E0,-1.184706001E1,-2.362881187E0,1.231236200E1
3.925449583E-1,2.142746821E0,-1.108930530E1,-2.738659226E0,1.162171718E1
4.025029583E-1,2.041436647E0,-1.047684454E1,-2.810145530E0,1.103760178E1
4.124609583E-1,1.915478558E0,-9.872389791E0,-2.956272127E0,1.048201713E1
4.224189583E-1,1.334182000E0,-9.467967705E0,-3.539340684E0,1.019555720E1
4.323759583E-1,4.925980248E-1,-9.125064760E0,-3.814257761E0,9.902425054E0
4.423339583E-1,-1.469459380E-1,-8.565406700E0,-3.580408604E0,9.284778447E0
4.522919583E-1,-8.485280550E-1,-7.700170811E0,-3.133250388E0,8.356427967E0
4.622499583E-1,-1.565804391E0,-6.934241694E0,-2.664288490E0,7.591698388E0
4.722069583E-1,-2.242761105E0,-6.503913519E0,-2.070883225E0,7.184666016E0
4.821649583E-1,-2.907509857E0,-6.053722937E0,-1.258900560E0,6.832715828E0
4.921229583E-1,-3.266126902E0,-5.298284310E0,-4.955217057E-1,6.243792383E0
5.020809583E-1,-3.375948429E0,-4.666145334E0,8.152942353E-1,5.816755518E0
5.120389583E-1,-3.907503894E0,-3.822917780E0,2.439320668E0,5.986114963E0
5.219959583E-1,-4.673634155E0,-2.309833201E0,4.265147670E0,6.735701172E0
5.319539583E-1,-5.164315828E0,-3.904185891E-1,6.574367205E0,8.369282454E0
5.419119583E-1,-5.300168867E0,1.620175164E0,9.280475566E0,1.080943959E1
5.518699583E-1,-4.630014219E0,3.561760663E0,1.189850498E1,1.325509681E1
5.618279583E-1,-3.869515995E0,5.819991016E0,1.284152404E1,1.462019798E1
5.717849583E-1,-3.565416927E0,8.076413410E0,1.258472602E1,1.537257234E1
5.817429583E-1,-2.888302338E0,9.420041587E0,1.262926075E1,1.601804299E1
5.917009583E-1,-2.097187217E0,1.024752142E1,1.417495818E1,1.761645052E1
6.016589583E-1,-1.491865618E0,1.086437694E1,1.614482549E1,1.951706278E1
6.116169583E-1,-1.707691318E0,1.075799855E1,1.671571722E1,1.995159003E1
6.215739583E-1,-2.662396623E0,1.027445136E1,1.394206592E1,1.752238307E1
6.315319583E-1,-2.648502762E0,1.011111523E1,9.379251995E0,1.404348910E1
6.414899583E-1,-2.311215190E0,1.077145533E1,4.138564514E0,1.176833386E1
6.514479583E-1,-1.915717417E0,1.141088695E1,6.092680304E-1,1.158660959E1
6.614049583E-1,-1.218702999E0,1.185985605E1,-5.800005233E-1,1.193640747E1
6.713629583E-1,-3.916561523E-1,1.255359428E1,-6.115532684E-1,1.257458235E1
6.813209583E-1,-3.811970184E-1,1.328144749E1,-5.131700644E-1,1.329682301E1
6.912789583E-1,-5.860093049E-1,1.173880232E1,-4.186721890E-1,1.176087468E1
7.012369583E-1,-2.501856932E-1,7.054778536E0,4.935728288E-1,7.076447358E0
7.111939583E-1,-5.234045190E-1,2.796575897E0,2.091517756E0,3.531180477E0
7.211519583E-1,-9.898201740E-1,-8.774986696E-1,3.678759648E0,3.909350386E0
7.311099583E-1,-1.050635017E0,-4.446119871E0,5.147254238E0,6.882299182E0
7.410679583E-1,-2.809113497E-1,-7.403662598E0,6.033257682E0,9.554754278E0
