"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.109416663E-2,4.623586375E-1,1.335998729E0,1.606067002E0,2.139654021E0
5.115416663E-2,6.682741839E-1,1.317289978E0,1.572983456E0,2.157804492E0
6.121416664E-2,7.030203858E-1,1.407942286E0,1.334369110E0,2.063269267E0
7.127416664E-2,6.277056170E-1,1.696680719E0,1.244807308E0,2.195970181E0
8.133416664E-2,3.400363478E-1,2.165951934E0,1.042232276E0,2.427595645E0
9.139316663E-2,5.075324714E-2,2.634294028E0,9.637193727E-1,2.805501015E0
1.014531666E-1,-1.490043041E-1,2.941804946E0,9.434675413E-1,3.092983935E0
1.115131666E-1,-1.927936636E-1,3.148474199E0,9.990640372E-1,3.308804637E0
1.215731666E-1,-8.950040638E-2,3.220450500E0,1.060135281E0,3.391636560E0
1.316331666E-1,1.072923142E-1,2.967615141E0,1.108599928E0,3.169738958E0
1.416931666E-1,1.351506422E-1,2.562293753E0,1.456165443E0,2.950259780E0
1.517531666E-1,-1.316192164E-1,2.190102689E0,1.878314533E0,2.888241488E0
1.618131666E-1,-3.455917874E-1,1.791673999E0,2.150355656E0,2.820205463E0
1.718731666E-1,-4.624369901E-1,1.223253887E0,2.452691789E0,2.779549433E0
1.819331666E-1,-6.090088525E-1,6.220911205E-1,2.286295234E0,2.446433126E0
1.919931666E-1,-8.926471974E-1,1.974727517E-1,2.214662749E0,2.395943572E0
2.020521666E-1,-1.281046012E0,-1.049949431E-1,2.126873823E0,2.485094582E0
2.121121666E-1,-1.624114872E0,-4.149733865E-1,1.951324621E0,2.572473480E0
2.221721666E-1,-1.797022301E0,-7.364796156E-1,1.795575262E0,2.644954044E0
2.322321666E-1,-1.798298749E0,-9.310854775E-1,1.593080921E0,2.576568528E0
2.422921666E-1,-1.702845730E0,-9.462578326E-1,1.470301087E0,2.440670554E0
2.523521666E-1,-1.516559287E0,-9.336155677E-1,1.346855839E0,2.232848126E0
2.624121666E-1,-1.380676866E0,-8.517276514E-1,1.392881613E0,2.138183291E0
2.724721666E-1,-1.169064816E0,-6.897083223E-1,1.392468215E0,1.944576520E0
2.825321666E-1,-7.811463498E-1,-5.261236936E-1,1.261160216E0,1.574014248E0
2.925921666E-1,-3.730760399E-1,-5.189228475E-1,1.120310732E0,1.289791762E0
3.026521666E-1,-4.831992835E-2,-7.192969877E-1,8.573947728E-1,1.120200325E0
3.127121666E-1,2.231220017E-1,-9.966941607E-1,4.324811196E-1,1.109154000E0
3.227711666E-1,3.587319428E-1,-1.197274708E0,-5.131107152E-2,1.250914928E0
3.328311666E-1,4.281516950E-1,-1.249929469E0,-5.315347070E-1,1.424137176E0
3.428911666E-1,4.762099604E-1,-1.264289061E0,-9.550385964E-1,1.654479217E0
