"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.966875000E-2,-2.305479510E0,-9.855306566E-2,-2.805296434E0,3.632442231E0
2.962575000E-2,-1.688133551E0,-4.718819976E-2,-7.791356385E-1,1.859858585E0
3.958375000E-2,-1.754036057E-1,-2.801962352E-1,1.795328509E0,1.825508371E0
4.954075000E-2,4.641866232E-1,-9.107447684E-2,1.974457376E0,2.030331429E0
5.949775000E-2,8.931007951E-2,-8.215279520E-2,2.474494886E-1,2.756022886E-1
6.945474999E-2,-6.607980801E-1,7.647807240E-2,-1.562936186E0,1.698608995E0
7.941174999E-2,-1.245882319E0,1.541817212E-1,-2.383686458E0,2.694059369E0
8.936874999E-2,-1.495028962E0,-9.423431218E-2,-2.347416764E0,2.784664642E0
9.932674999E-2,-1.657951101E0,-2.271906406E-1,-2.672794434E0,3.153450099E0
1.092837500E-1,-1.776336314E0,-2.010214269E-2,-2.994879538E0,3.482108304E0
1.192407500E-1,-1.576430244E0,3.074658948E-1,-2.848649445E0,3.270240244E0
1.291977500E-1,-1.042707947E0,2.159727573E-1,-2.495464756E0,2.713158389E0
1.391547500E-1,-2.799888052E-1,-7.482623398E-2,-1.788103105E0,1.811437388E0
1.491117500E-1,1.987980232E-2,-8.485537827E-2,-9.074282277E-1,9.116038779E-1
1.590687500E-1,-2.908134632E-1,4.583199656E-1,-3.041189486E-1,6.221880713E-1
1.690267500E-1,-5.351871702E-1,1.080206434E0,-1.826518142E-1,1.219275576E0
1.789837500E-1,-9.267138067E-1,1.410602185E0,-1.589039326E-1,1.695242597E0
1.889407500E-1,-1.066330114E0,1.326156111E0,-5.528425455E-1,1.789241410E0
1.988977500E-1,-1.001014961E0,6.676286513E-1,-1.196929722E0,1.697174041E0
2.088547500E-1,-8.208654624E-1,6.542168927E-1,-5.757618767E-1,1.197214095E0
2.188117500E-1,-2.773360696E-1,1.549502208E0,1.662138877E0,2.289230882E0
2.287687500E-1,5.738758573E-1,2.662822008E0,3.962100808E0,4.808138659E0
2.387267500E-1,9.871637839E-1,3.296594111E0,5.515242323E0,6.500763259E0
2.486837500E-1,4.728233993E-1,3.054346306E0,5.862630082E0,6.627444817E0
2.586407500E-1,6.965495646E-4,2.067887696E0,5.484863698E0,5.861730956E0
2.685977500E-1,7.694307223E-2,7.455176568E-1,4.389548060E0,4.453071859E0
2.785547500E-1,3.849774626E-1,-1.776699865E-1,3.128477890E0,3.157079059E0
2.885117500E-1,5.808412068E-1,-1.638506770E-2,1.982746974E0,2.066139042E0
2.984697500E-1,2.225289479E-1,1.366557448E0,1.555134246E0,2.082172162E0
3.084267500E-1,-2.773587276E-1,2.785428765E0,1.443426699E0,3.149447873E0
3.183837500E-1,-7.503076959E-1,2.964013256E0,1.450807055E0,3.384254324E0
3.283407500E-1,-1.137487366E0,2.376410183E0,2.539886638E0,3.659539178E0
3.382977500E-1,-2.780409515E-2,8.960781974E-1,3.841804286E0,3.945020834E0
3.482547500E-1,2.224566763E0,-1.809915558E0,3.469131412E0,4.501040365E0
3.582127500E-1,3.960266244E0,-4.934489263E0,1.407747574E0,6.481870582E0
3.681697500E-1,4.690625579E0,-6.888726967E0,-1.463918266E0,8.461653753E0
