"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.305116666E-2,6.045041576E-1,1.088389027E-1,-1.796901410E0,1.898980216E0
2.300816667E-2,8.768689245E-1,-5.009175164E-1,-2.266957322E0,2.481715731E0
3.296516667E-2,8.594386670E-1,-3.193930453E-1,-2.102530110E0,2.293747938E0
4.292216664E-2,4.240754548E-1,5.783592099E-1,-1.156491548E0,1.360813017E0
5.287891664E-2,3.460203883E-1,1.279940888E0,1.727910697E-2,1.326000511E0
6.283691665E-2,5.706894171E-1,1.480918461E0,1.008057640E0,1.880155872E0
7.279391665E-2,7.636279455E-1,1.336779917E0,1.361133571E0,2.054943499E0
8.275091666E-2,8.605862562E-1,1.234496328E0,7.685223573E-1,1.689738590E0
9.270791666E-2,8.654504818E-1,9.775796127E-1,-8.716327429E-2,1.308535010E0
1.026649167E-1,7.404188848E-1,-3.942426682E-2,-4.373308003E-1,8.608325195E-1
1.126229167E-1,-3.271122470E-2,5.538845193E-1,-1.117719830E0,1.247860451E0
1.225799166E-1,-3.548353583E-1,8.922126031E-1,-1.284840270E0,1.603984408E0
1.325369166E-1,-6.023753326E-1,3.570818585E-1,-2.022674686E-1,7.288865644E-1
1.424939166E-1,-3.942219105E-1,-1.112894708E-1,2.123474836E-2,4.101794432E-1
1.524519167E-1,1.180085063E-1,1.180652243E-1,-5.292338276E-1,5.549358963E-1
1.624089167E-1,4.758054793E-1,6.790973800E-1,4.316157317E-1,9.348027843E-1
1.723659167E-1,7.746101859E-1,1.306543381E0,1.027742291E0,1.833938593E0
1.823229167E-1,9.676777916E-1,1.706021646E0,2.892968416E-1,1.982574797E0
1.922799167E-1,1.161295035E0,2.091328306E0,-5.897150874E-2,2.392851413E0
2.022379166E-1,1.394881068E0,1.415782525E0,-5.123961854E-1,2.052482206E0
2.121949166E-1,1.789802306E0,1.071822111E0,-6.476422834E-1,2.184407347E0
2.221519166E-1,2.048479910E0,2.048986571E0,-9.291342616E-2,2.898835769E0
2.321089167E-1,1.785960539E0,1.586524146E0,-8.090020466E-1,2.522141595E0
2.420659167E-1,7.585907154E-1,2.438084275E-1,-1.112273149E0,1.368230237E0
2.520239167E-1,-4.496312955E-1,-9.403249553E-1,-1.128661725E0,1.536312668E0
2.619809167E-1,-1.206648818E0,-1.646209892E0,-2.217201025E0,3.013633814E0
2.719379167E-1,-1.140337445E0,-1.943341126E0,-3.384384207E0,4.065833332E0
